date,num_requests,num_users,avg_requests_per_user,quarter
2015-01-01,20274,908,22.32819383259912,2015Q1
2015-01-02,19992,910,21.96923076923077,2015Q1
2015-01-03,20794,923,22.528710725893824,2015Q1
2015-01-04,18780,883,21.26840317100793,2015Q1
2015-01-05,20216,927,21.807982740021576,2015Q1
2015-01-06,21584,869,24.837744533947067,2015Q1
2015-01-07,20134,900,22.371111111111112,2015Q1
2015-01-08,21443,933,22.982851018220792,2015Q1
2015-01-09,21850,912,23.958333333333332,2015Q1
2015-01-10,19372,934,20.740899357601712,2015Q1
2015-01-11,19217,915,21.002185792349728,2015Q1
2015-01-12,20210,883,22.88788221970555,2015Q1
2015-01-13,20469,896,22.844866071428573,2015Q1
2015-01-14,20659,918,22.504357298474947,2015Q1
2015-01-15,18939,881,21.49716231555051,2015Q1
2015-01-16,20527,884,23.220588235294116,2015Q1
2015-01-17,19939,868,22.97119815668203,2015Q1
2015-01-18,20079,918,21.872549019607842,2015Q1
2015-01-19,21150,900,23.5,2015Q1
2015-01-20,19399,884,21.944570135746606,2015Q1
2015-01-21,19825,860,23.052325581395348,2015Q1
2015-01-22,19420,889,21.84476940382452,2015Q1
2015-01-23,20155,913,22.075575027382257,2015Q1
2015-01-24,21381,924,23.13961038961039,2015Q1
2015-01-25,22801,915,24.91912568306011,2015Q1
2015-01-26,19102,881,21.682179341657207,2015Q1
2015-01-27,19884,885,22.46779661016949,2015Q1
2015-01-28,25044,856,29.257009345794394,2015Q1
2015-01-29,24918,938,26.56503198294243,2015Q1
2015-01-30,18254,875,20.861714285714285,2015Q1
2015-01-31,22130,908,24.37224669603524,2015Q1
2015-02-01,21680,963,22.512980269989615,2015Q1
2015-02-02,22256,909,24.484048404840483,2015Q1
2015-02-03,21919,893,24.54535274356103,2015Q1
2015-02-04,21857,935,23.376470588235293,2015Q1
2015-02-05,20648,920,22.443478260869565,2015Q1
2015-02-06,19848,873,22.735395189003437,2015Q1
2015-02-07,22357,904,24.731194690265486,2015Q1
2015-02-08,19956,878,22.72892938496583,2015Q1
2015-02-09,21292,913,23.32092004381161,2015Q1
2015-02-10,17779,877,20.272519954389967,2015Q1
2015-02-11,21992,901,24.408435072142066,2015Q1
2015-02-12,21648,930,23.27741935483871,2015Q1
2015-02-13,18908,880,21.486363636363638,2015Q1
2015-02-14,22667,889,25.49718785151856,2015Q1
2015-02-15,19857,891,22.286195286195287,2015Q1
2015-02-16,20485,920,22.266304347826086,2015Q1
2015-02-17,22619,882,25.645124716553287,2015Q1
2015-02-18,20110,935,21.50802139037433,2015Q1
2015-02-19,21975,921,23.859934853420196,2015Q1
2015-02-20,21498,964,22.300829875518673,2015Q1
2015-02-21,21498,967,22.231644260599793,2015Q1
2015-02-22,22091,944,23.401483050847457,2015Q1
2015-02-23,19610,889,22.05849268841395,2015Q1
2015-02-24,21051,912,23.082236842105264,2015Q1
2015-02-25,21510,896,24.006696428571427,2015Q1
2015-02-26,24393,897,27.193979933110366,2015Q1
2015-02-27,20674,860,24.03953488372093,2015Q1
2015-02-28,19308,919,21.009793253536454,2015Q1
2015-03-01,20278,906,22.381898454746135,2015Q1
2015-03-02,21637,921,23.492942453854507,2015Q1
2015-03-03,22356,960,23.2875,2015Q1
2015-03-04,19846,946,20.978858350951374,2015Q1
2015-03-05,21298,885,24.06553672316384,2015Q1
2015-03-06,20028,881,22.733257661748013,2015Q1
2015-03-07,19523,910,21.453846153846154,2015Q1
2015-03-08,21941,911,24.084522502744235,2015Q1
2015-03-09,20854,918,22.71677559912854,2015Q1
2015-03-10,19345,918,21.072984749455337,2015Q1
2015-03-11,23264,932,24.96137339055794,2015Q1
2015-03-12,18889,880,21.464772727272727,2015Q1
2015-03-13,19695,859,22.92782305005821,2015Q1
2015-03-14,20452,919,22.25462459194777,2015Q1
2015-03-15,19458,913,21.312157721796275,2015Q1
2015-03-16,19636,908,21.625550660792953,2015Q1
2015-03-17,21492,885,24.284745762711864,2015Q1
2015-03-18,23588,898,26.267260579064587,2015Q1
2015-03-19,24135,944,25.56673728813559,2015Q1
2015-03-20,20744,890,23.307865168539326,2015Q1
2015-03-21,23129,915,25.277595628415302,2015Q1
2015-03-22,20360,918,22.17864923747277,2015Q1
2015-03-23,19753,882,22.395691609977323,2015Q1
2015-03-24,23068,957,24.104493207941484,2015Q1
2015-03-25,20940,894,23.42281879194631,2015Q1
2015-03-26,20474,911,22.474204171240395,2015Q1
2015-03-27,20161,915,22.033879781420765,2015Q1
2015-03-28,23199,943,24.601272534464474,2015Q1
2015-03-29,21603,939,23.00638977635783,2015Q1
2015-03-30,20380,940,21.680851063829788,2015Q1
2015-03-31,20990,904,23.219026548672566,2015Q1
