date,num_requests,num_users,avg_requests_per_user,quarter
2012-10-01,154482,2241,68.93440428380187,2012Q4
2012-10-02,158024,2299,68.73597216180949,2012Q4
2012-10-03,161891,2419,66.92476229847044,2012Q4
2012-10-04,165409,2529,65.40490312376433,2012Q4
2012-10-05,166781,2472,67.46804207119742,2012Q4
2012-10-06,172496,2479,69.58289632916498,2012Q4
2012-10-07,181705,2588,70.21058732612056,2012Q4
2012-10-08,193504,2713,71.32473276815334,2012Q4
2012-10-09,202374,2837,71.33380331335918,2012Q4
2012-10-10,212904,2991,71.18154463390171,2012Q4
2012-10-11,220937,3074,71.87280416395576,2012Q4
2012-10-12,234584,3200,73.3075,2012Q4
2012-10-13,241745,3244,74.52065351418003,2012Q4
2012-10-14,263703,3602,73.21016102165464,2012Q4
2012-10-15,321386,4651,69.100408514298,2012Q4
2012-10-16,361491,5221,69.23788546255507,2012Q4
2012-10-17,379302,5285,71.76953642384106,2012Q4
2012-10-18,389997,5140,75.8749027237354,2012Q4
2012-10-19,393885,5017,78.51006577636038,2012Q4
2012-10-20,391258,4846,80.7383408997111,2012Q4
2012-10-21,399245,4717,84.63960144159424,2012Q4
2012-10-22,424368,4947,85.7828987265009,2012Q4
2012-10-23,425662,4903,86.8166428717112,2012Q4
2012-10-24,415614,4743,87.62681846932321,2012Q4
2012-10-25,405035,4573,88.57095998250601,2012Q4
2012-10-26,389238,4334,89.81033687125057,2012Q4
2012-10-27,380991,4166,91.4524723955833,2012Q4
2012-10-28,368397,3963,92.95912187736563,2012Q4
2012-10-29,365361,3912,93.39493865030674,2012Q4
2012-10-30,357591,3868,92.44855222337125,2012Q4
2012-10-31,350406,3776,92.79819915254237,2012Q4
2012-11-01,340326,3604,94.43007769145395,2012Q4
2012-11-02,333690,3489,95.64058469475495,2012Q4
2012-11-03,315573,3308,95.39691656590085,2012Q4
2012-11-04,317767,3329,95.45419044758185,2012Q4
2012-11-05,313820,3257,96.35247159963156,2012Q4
2012-11-06,300442,3181,94.44891543539768,2012Q4
2012-11-07,290331,2997,96.87387387387388,2012Q4
2012-11-08,274736,2872,95.66016713091922,2012Q4
2012-11-09,268346,2779,96.56207268801727,2012Q4
2012-11-10,258593,2655,97.3984934086629,2012Q4
2012-11-11,247980,2525,98.20990099009902,2012Q4
2012-11-12,240593,2477,97.13080339119904,2012Q4
2012-11-13,232549,2432,95.6204769736842,2012Q4
2012-11-14,224971,2378,94.60513036164845,2012Q4
2012-11-15,216344,2288,94.55594405594405,2012Q4
2012-11-16,206300,2163,95.37679149329635,2012Q4
2012-11-17,196372,2107,93.19981015662079,2012Q4
2012-11-18,193395,2042,94.70861900097943,2012Q4
2012-11-19,189097,2048,92.33251953125,2012Q4
2012-11-20,184364,2001,92.13593203398301,2012Q4
2012-11-21,176007,1931,91.14810978767478,2012Q4
2012-11-22,167238,1836,91.08823529411765,2012Q4
2012-11-23,162550,1804,90.10532150776054,2012Q4
2012-11-24,155994,1691,92.2495564754583,2012Q4
2012-11-25,151094,1649,91.6276531231049,2012Q4
2012-11-26,148870,1642,90.6638246041413,2012Q4
2012-11-27,147063,1603,91.74235807860262,2012Q4
2012-11-28,137093,1527,89.77930582842174,2012Q4
2012-11-29,134635,1500,89.75666666666666,2012Q4
2012-11-30,126984,1412,89.93201133144476,2012Q4
2012-12-01,121271,1384,87.6235549132948,2012Q4
2012-12-02,118958,1347,88.3132887899035,2012Q4
2012-12-03,119774,1372,87.29883381924198,2012Q4
2012-12-04,116560,1380,84.46376811594203,2012Q4
2012-12-05,112679,1362,82.73054331864904,2012Q4
2012-12-06,107085,1311,81.68192219679634,2012Q4
2012-12-07,103311,1268,81.47555205047318,2012Q4
2012-12-08,98687,1173,84.13213981244672,2012Q4
2012-12-09,91450,1131,80.85764809902741,2012Q4
2012-12-10,89704,1121,80.021409455843,2012Q4
2012-12-11,85374,1105,77.26153846153846,2012Q4
2012-12-12,80225,1055,76.04265402843602,2012Q4
2012-12-13,72110,986,73.13387423935092,2012Q4
2012-12-14,69715,934,74.64132762312634,2012Q4
2012-12-15,62785,901,69.68368479467259,2012Q4
2012-12-16,59661,845,70.60473372781065,2012Q4
2012-12-17,55972,823,68.00972053462941,2012Q4
2012-12-18,53650,828,64.79468599033817,2012Q4
2012-12-19,55423,997,55.589769307923774,2012Q4
2012-12-20,78976,2076,38.042389210019266,2012Q4
2012-12-21,100792,3045,33.1008210180624,2012Q4
2012-12-22,103336,3120,33.12051282051282,2012Q4
2012-12-23,96926,2817,34.40752573659922,2012Q4
2012-12-24,91989,2585,35.58568665377176,2012Q4
2012-12-25,83847,2321,36.12537699267557,2012Q4
2012-12-26,81184,2283,35.56022777047744,2012Q4
2012-12-27,78001,2252,34.63632326820604,2012Q4
2012-12-28,73989,2145,34.493706293706296,2012Q4
2012-12-29,71299,2063,34.560833737275814,2012Q4
2012-12-30,68776,2031,33.863121614967994,2012Q4
2012-12-31,64080,1906,33.62014690451207,2012Q4
