date,num_requests,num_users,avg_requests_per_user,quarter
2013-07-01,39707,1011,39.274975272007914,2013Q3
2013-07-02,39870,1060,37.613207547169814,2013Q3
2013-07-03,37787,1048,36.05629770992366,2013Q3
2013-07-04,38169,975,39.14769230769231,2013Q3
2013-07-05,36140,886,40.79006772009029,2013Q3
2013-07-06,34413,816,42.17279411764706,2013Q3
2013-07-07,31484,755,41.70066225165563,2013Q3
2013-07-08,32755,733,44.6862210095498,2013Q3
2013-07-09,34171,736,46.42798913043478,2013Q3
2013-07-10,36226,761,47.60315374507228,2013Q3
2013-07-11,35036,785,44.631847133757965,2013Q3
2013-07-12,36279,751,48.30758988015979,2013Q3
2013-07-13,35238,726,48.53719008264463,2013Q3
2013-07-14,30713,660,46.53484848484848,2013Q3
2013-07-15,33077,702,47.11823361823362,2013Q3
2013-07-16,30993,731,42.398084815321475,2013Q3
2013-07-17,32152,794,40.49370277078086,2013Q3
2013-07-18,32613,799,40.81727158948686,2013Q3
2013-07-19,36685,797,46.028858218318696,2013Q3
2013-07-20,34419,767,44.8748370273794,2013Q3
2013-07-21,31659,727,43.5474552957359,2013Q3
2013-07-22,33637,730,46.07808219178082,2013Q3
2013-07-23,32233,702,45.91595441595442,2013Q3
2013-07-24,32812,730,44.94794520547945,2013Q3
2013-07-25,43134,1135,38.00352422907489,2013Q3
2013-07-26,58383,1547,37.739495798319325,2013Q3
2013-07-27,62097,1524,40.746062992125985,2013Q3
2013-07-28,52196,1227,42.53952730236349,2013Q3
2013-07-29,54887,1233,44.515004055150044,2013Q3
2013-07-30,57185,1344,42.548363095238095,2013Q3
2013-07-31,63526,1284,49.47507788161994,2013Q3
2013-08-01,54387,1116,48.733870967741936,2013Q3
2013-08-02,47027,974,48.282340862423,2013Q3
2013-08-03,39181,871,44.98392652123995,2013Q3
2013-08-04,31774,729,43.585733882030176,2013Q3
2013-08-05,30927,733,42.19236016371078,2013Q3
2013-08-06,28290,736,38.4375,2013Q3
2013-08-07,29735,744,39.96639784946237,2013Q3
2013-08-08,29498,748,39.43582887700535,2013Q3
2013-08-09,22894,676,33.866863905325445,2013Q3
2013-08-10,21663,554,39.1028880866426,2013Q3
2013-08-11,17054,473,36.05496828752643,2013Q3
2013-08-12,16314,438,37.24657534246575,2013Q3
2013-08-13,17834,432,41.282407407407405,2013Q3
2013-08-14,14996,380,39.463157894736845,2013Q3
2013-08-15,12908,353,36.56657223796034,2013Q3
2013-08-16,12036,317,37.96845425867508,2013Q3
2013-08-17,10536,295,35.715254237288136,2013Q3
2013-08-18,9566,280,34.16428571428571,2013Q3
2013-08-19,11522,293,39.32423208191126,2013Q3
2013-08-20,12048,313,38.49201277955272,2013Q3
2013-08-21,11336,331,34.24773413897281,2013Q3
2013-08-22,11482,328,35.00609756097561,2013Q3
2013-08-23,11331,302,37.519867549668874,2013Q3
2013-08-24,10599,281,37.718861209964416,2013Q3
2013-08-25,11464,291,39.39518900343643,2013Q3
2013-08-26,8460,303,27.92079207920792,2013Q3
2013-08-27,8264,260,31.784615384615385,2013Q3
2013-08-28,10397,240,43.32083333333333,2013Q3
2013-08-29,10271,276,37.21376811594203,2013Q3
2013-08-30,8398,274,30.64963503649635,2013Q3
2013-08-31,8509,237,35.90295358649789,2013Q3
2013-09-01,7334,271,27.062730627306273,2013Q3
2013-09-02,8082,280,28.864285714285714,2013Q3
2013-09-03,6824,212,32.18867924528302,2013Q3
2013-09-04,6179,204,30.28921568627451,2013Q3
2013-09-05,6605,194,34.04639175257732,2013Q3
2013-09-06,8544,180,47.46666666666667,2013Q3
2013-09-07,4698,139,33.798561151079134,2013Q3
2013-09-08,5284,86,61.44186046511628,2013Q3
2013-09-09,1456,31,46.96774193548387,2013Q3
2013-09-10,1426,26,54.84615384615385,2013Q3
2013-09-11,1339,21,63.76190476190476,2013Q3
2013-09-12,1001,16,62.5625,2013Q3
2013-09-13,943,14,67.35714285714286,2013Q3
2013-09-14,1031,13,79.3076923076923,2013Q3
2013-09-15,849,13,65.3076923076923,2013Q3
2013-09-16,795,11,72.27272727272727,2013Q3
2013-09-17,727,9,80.77777777777777,2013Q3
2013-09-18,540,8,67.5,2013Q3
2013-09-19,560,8,70.0,2013Q3
2013-09-20,567,8,70.875,2013Q3
2013-09-21,542,7,77.42857142857143,2013Q3
2013-09-22,557,7,79.57142857142857,2013Q3
2013-09-23,535,7,76.42857142857143,2013Q3
2013-09-24,378,6,63.0,2013Q3
2013-09-25,371,6,61.833333333333336,2013Q3
2013-09-26,208,4,52.0,2013Q3
2013-09-27,387,5,77.4,2013Q3
2013-09-28,276,4,69.0,2013Q3
2013-09-29,270,4,67.5,2013Q3
2013-09-30,247,4,61.75,2013Q3
